,Title,Release Date,Description,MetaScore,User Score
97,Overcooked!,3-Aug-16,"Diner Dash has never been this much fun! I'm having a hard time not liking this game because of how loud me and my friends get. Having to shout profanities so that your so-called ""friend"" would get the dishes out in time just gives the game such charm. I do hope the developer will continue to support this and add new challenges, cooking methods or even add meals-- like with drinks and sidings just to make it more fun to play with",81,7.8
98,Overcooked! 2,7-Aug-18,"Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons... it's time to save the world (again!)FEATURES:* Online/Local Multiplayer Madness - You'll knead to work together to get the highest score in chaotic local and online multiplayer.* Feast Your Eyes On This - Cook in new kitchens ranging from sushi restaurants, magic schools and mines!* Romaine Calm! - Travel through teleporters, across moving platforms and save time by throwing ingredients across dynamic kitchens that shift and evolve.* Whet Your Appetite! - Cook up a range of new recipes including sushi, cakes, burgers and pizzas.",81,7.7
99,Pathway,11-Apr-19,"Ótimo RPG, jogabilidade simples mas que faz você quebrar o coco com as situações, finalizar os inimigos rápido ou ser furtivo, várias opções de estratégia, grande jogo.",68,6.4
100,Phantasy Star Online 2: New Genesis,9-Jun-21,"One of the goals for Phantasy Star Online 2 New Genesis is to create the ultimate PSO2 in which the time-tested elements are kept intact, while the game design, gameplay and graphics engine will be completely redesigned and reborn in all aspects. We are working very hard to offer players unparalleled character customization and limitless adventure.",No Score,2.2
101,Pikuniku,24-Jan-19,This is one of the best games I have ever played and there is just no apparent reason to it. Its just a small indie game but its one that is so relaxing and gives off good vibes. There is nothing I would change about it but now I just want to have a second one.,74,7.2
102,Pillars of Eternity,26-Mar-15,"Eternity aims to recapture the magic, imagination, depth, and nostalgia of classic RPG's that Obsidian enjoyed making - and playing. Eternity takes the central hero, memorable companions and the epic exploration of Baldur’s Gate, adds in the fun, intense combat and dungeon diving of Icewind Dale, and ties it all together with the emotional writing and mature thematic exploration of Planescape: Torment. Choose to play as one of the six playable races: Human, Aumaua, Dwarf, Elf, Godlike, and Orlan. Whether you're playing a stout Dwarf, a towering Aumaua, or one of the otherworldly Godlike, Eternity's plethora of playable races scratch every role-playing itch you may have and allow for deep character customization. [Obsidian]",89,8.3
103,Pine,10-Oct-19,"Been a long time since something seriously fun and immersive came out. Reminds me of games when I was younger, you're just sucked into the world and you can tell that it's crafted with a lot of love.",No Score,6.8
104,Q.U.B.E. 2,13-Mar-18,"Assume the role of Amelia Cross, a stranded archaeologist who has mysteriously awaken among the sand swept ruins of an ancient alien landscape. Together with the distant help of another survivor, Commander Emma Sutcliffe, you must traverse and manipulate the structure of this forgotten world to find a way back home.",76,7.9
105,RAGE 2,14-May-19,"Dive headfirst into a dystopian world devoid of society, law, and order. RAGE 2 brings together two studio powerhouses Avalanche Studios, masters of open world insanity, and id Software, the gods of the first-person shooter to deliver a carnival of carnage where you can go anywhere, shoot anything, and explode everything. THE LAST RANGERBring the pain using a collection of upgradable weapons, devastating Nanotrite powers, and Overdrive, the ability to push your guns beyond their mechanical limits. PEDAL TO THE METALFrom monster trucks to gyrocopters, use an assortment of rugged and wasteland-ready vehicles to speed across the badlands. If you see it, you can drive it. FACTIONS & FOESFight against ferocious factions for control of the wasteland, each featuring a rogue's gallery of madmen, mutants, and monsters hungry for blood. THE WASTELAND AWAITSSeamlessly traverse a vast and varied landscape, from lush jungles and treacherous swamps to sun-scorched deserts in your pursuit of The Authority. The wasteland is massive, and you've got the arsenal to fight for every inch.",67,6
106,Rebel Galaxy,20-Oct-15,"This game is absolutely brilliant, the storyline is hilarious, the missions are fun, the environment sucks you into it.  I love that everything is completely open world and its up to how you choose to play it, you can be whatever you want to be, e.g pirate, trader, a do-gooder, bounty hunter, etc.  Your ship is totally upgradable in so many ways.  I wasnt sure about the 2.5D plane because I am a bit of a space sim enthusiast (with my own HOTAS and everything) but it works so well, and I just take Rebel Galaxy for what it is which is a great action packed Space Arcade game.  At $20 its a steal! 10/10",75,7.5
107,RiME,26-May-17,"The story of a boy who must use his wits and ingenuity to survive - and ultimately escape from - a mysterious island and a terrible curse. An end, and a new beginning. A strange island with a sinister secret, and an open-world adventure with a difference. As a boy who finds he is key to solving a series of ancient puzzles, you'll use an enigmatic artefact to manipulate your environment and even time itself. Thanks to the innovative control offered by the DUALSHOCK 4 controller, you'll find that light, sound and touch are all essential in your bid to escape the island.",78,7.3
108,Rise of the Tomb Raider: 20 Year Celebration,11-Oct-16,"After uncovering an ancient mystery, Lara Croft embarks on a journey throughout the most treacherous and remote regions of the world to find the secret of immortality. Forming powerful new alliances and relying on her intellect and survival skills, Lara will ultimately embrace her fate as the Tomb Raider. Featuring epic, high-octane action moments set in the most beautifully hostile environments on earth, Rise of the Tomb Raider delivers a cinematic survival action adventure where you will join Lara Croft on her first tomb raiding expedition and witness the rise of an icon. The Rise of the Tomb Raider: 20 Year Celebration Edition contains: * Rise of the Tomb Raider game.* Limited Edition Artbook & Packaging.* ""Blood Ties"" Single Player Story: Explore Lara's childhood home in all-new Story Mode adventure, and uncover a family mystery that will change her life forever.* ""Blood Ties"" Nightmare: Lara's worst nightmares come alive as hordes of the undead overrun her childhood home. Compete with friends and create community challenges with card modifiers in an all new Nightmare Mode.* Endurance Mode Co-Op: You and a friend must work together to raid tombs in a brutal wilderness. Battle to the top of the leaderboards, as others try to beat your longest survival run.* 20 Year Celebration Content: Five classic Lara Croft skins plus a reimagined outfit that pays tribute to Lara's trip to Antarctica from Tomb Raider III. New content also includes the ""Extreme Survivor"" difficulty mode.* PlayStation VR-support: Experience ""Blood Ties"" Single Player Story in a whole new way with full Virtual Reality support using the PlayStation VR headset.* All DLC Included: Includes all previously released downloadable content, plus new outfits, weapons, and Expedition Cards that will keep you customizing, expanding, and challenging your friends to new adventures.",No Score,7.9
109,Rising Storm 2: Vietnam,30-May-17,"No comment , this is what battlefield was supposed to be.  I s seams like i play Battlefield 2 again , this sensation is priceless. This is a  relay good , and tactical  FPS  without a doubt.All my respect for tripwire & antimattergames.",81,7.5
110,Rocket League,5-Jul-15,"Most fun game of the year, easily. It's my GOTY above Witcher, Ark, or anything else. The replayability (it's easy to pick up but quite difficult to truly master), the fact it really does replicate the chaos of what an actual indoor soccer game feels like (something no other sports game has truly done with their sport choice). Best $20 I've spent on a game in a couple years. Gets even more fun with friends, even with server issues I don't care, the product is too fun. Oh, and a word to the wise: Just because you can hit it, doesn't mean you should! (just like RL soccer)",86,7.7
111,Ruiner,26-Sep-17,"The perfect cyberpunk adventure you are looking for. The shooting feels great, the difficulty is well balanced and there is even an Easy Mode for you wimps out there.Art Music Combat Story all blend perfectly. Only problem I have with this game is that i want MOAR of it!",75,7.6
112,Samurai Shodown,11-Jun-20,"SAMURAI SHODOWN has enjoyed worldwide success as a blade-wielding fighting game series since its first release in 1993. 11 years have passed since the last series installment, and it is now time for SAMURAI SHODOWN to return in a brand-new game featuring high-end visuals and gameplay! Faithfully reproducing the game mechanics and atmosphere that contributed to the success of the series, SAMURAI SHODOWN includes a revolutionary feature that learns from players game actions and patterns in order to create CPU-controlled ""ghost"" characters. With a story set one year before the very first installment, a diverse cast of returning and new characters cross paths in order to fulfill their destinies!* SAMURAI SHODOWN is faithful to the series' roots by delivering the same tense and exhilarating battles that it has always been known for. * Using the power of UNREAL® ENGINE 4 the series is able to achieve a level of detail and graphical quality like never before. * Using revolutionary Deep Learning AI, the game will learn from player tactics and create Ghost characters which players around the globe can share and fight against.",76,6.1
113,Sheltered,15-Mar-16,"The game is pretty fun if you like the style, and how another user said: ""If you buy the game, play on hardcore mode. It is currently the most challenging. The game does lack endgame content and is currently in development but for the price you can buy it right now its worth a try. You can also move to a new shelter after you have beaten' the current area, and by doing so get another family member and a bigger possible shelter. You can do this over and over again.""",62,5.2
114,Solitairica,31-May-16,"It's solitaire with a twist.  If you enjoy solitaire, and rogue type games, this might be for you.  Keep in mind that it is a solitaire game FIRST.  All the critical reviews seem to forget this, saying that the RNG keeps them from winning, do you win every game of solitaire?  If so, why play?  Remember, this is a SOLITAIRE style game FIRST.  After grinding a bit, you get rainbow gems that allow you to either ""buy"" different levels(?), or to buy card perks (makes a HUGE difference).  Very enjoyable SOLITAIRE game.",No Score,6.9
115,Sonic Mania,15-Aug-17,"Sonic Mania should be praised not only for how awesome this game is but the context this project came out to existence. Sonic Mania is a product of love, a collaboration of long time sonic fans and SEGA. From Tyson Hesse animation to Tee Lopes soundtrack passing by Hyper Potion music for the trailers we can feel the passion this game tries to convey. Pagodawest, Headcanon and Christian whitehead did an amazing job of balancing the gameplay and gathering the memorable stages, bosses, gimmicks that we all loved in the 16 bit sonic era and put their own signature names on it. Sonic Mania is not only a celebration for Sonic fans but also to SEGA fans. This game is filled with Easter eggs and homages to what made SEGA beloved. Sonic Mania should be celebrated by all gamers not only because it's a very good game but also because it opens a new chapter in the gaming industry that companies like Valve used to practice and companies like Nintendo should be more lenient about (AM2R).",84,7.7
116,Speed Brawl,18-Sep-18,"An anime-inspired brawler has entered the gaming scene and Double Stallion Games has developed a stylish combat-racer. Speed Brawl is a 2D combat-racer, a game that will certainly thrill the player if they already love all things speed and throwing a good punch. This is a game that meets you where you’re at; whether you enjoy a competitive play or are looking for something casual, Speed Brawl offers what you like and much more. The typical level design in Speed Brawl involves a standard championship, made up of three races. Your performance is measured by how quickly you can defeat all enemies and cross the finish line. Combat is the cherry on top in Speed Brawl and is a wonderful sight to watch as you dash and attack your enemies, and cleverly time your ultimate attacks to unleash your brawler into a frenzy of power. But behind every punch is a strategy, and Speed Brawl rewards the player who takes their time to assess the playground and carefully think through their plays. For example, certain Selenites have weak spots such as their backs or above their head, which took me several brawls to figure out. Dashing against walls and poles allow you to quickly reach your opponents from a distance, and counter-attacks can be crucial in avoiding an instant K.O. There are open windows to watch out for during your brawl, like a quick flash from a Selenite which indicates they’re about to attack you. This is a perfect hint for you to block or counter-attack, but the timing of your desired move is important. Even if you had an intended play, Speed Brawl quickly notes that speed is not only important on the field, but in your reflexes too. Speed Brawl is a stylish combat-racer that provides plenty of punch, kick, and personality. Its setting offers unique playgrounds for players to brawl and test their skills to the limit, making Speed Brawl one of the most fun games I’ve played this year. With enough brawlers to select and combine as a tag team, and new enemies to overcome, Speed Brawl offers many incentives for players to stick to the fight, enticing you with customization and rewards. Though the rewards can feel a little repetitive and unfair, the challenge that Speed Brawl poses gives enough motivation to either claim a gold trophy in your next race or customize your brawler further with set skill traits, appearance changes, and new gear.",No Score,tbd
117,Star Wars Battlefront II,17-Nov-17,"Star Wars Battlefront II allows players to experience the untold story of an Imperial elite special forces soldier in an all-new single player campaign. In epic multiplayer battles, players pilot a First Order TIE fighter through intense dogfights in space, and play as ground troopers or iconic heroes and villains, such as Yoda and Darth Maul, across all three Star Wars eras. Featuring new characters created by Motive in close partnership with the story group at Lucasfilm, the Star Wars Battlefront II single player campaign delivers a new story to the Star Wars universe. Taking place in the 30 years between the destruction of Death Star II and through the rise of the First Order, the single player story introduces Iden Versio, the leader of Inferno Squad, an elite special forces unit of the Galactic Empire, who are equally lethal on the ground and in space. In addition to Iden, players also encounter and play as other iconic Star Wars heroes and villains like Luke Skywalker and Kylo Ren during the campaign. [Electronic Arts]",65,1.8
118,Steep,2-Dec-16,"In Steep, players can use the innovative trail feature to relive their most inspiring rides and trailblazing achievements, and share them on social networks with friends. Along with sharing ride replays, players can also use this feature to challenge friends to outrace them on a shared path, create epic stunts or set out to discover the massive mountain playground.",72,6.7
119,Stories Untold,27-Feb-17,"I personally LOVE this Game. I had the luck to NOT know, what will happen in the Game, so I was completley blasted from the Twists this Game gave me.I don't wanna spolier to much, but you have to think a bit and to solve some riddles, which all were in the end not really hard, and when you manage the Game feels very rewarding.And the Storytelling is GREAT of this Game. If u are a NERD - Give it a Shoot !!!!",81,7
120,Stranded Deep,TBA - Early Access,No Summary,No Score,No Score
121,Stranger Things 3: The Game,4-Jul-19,"Developed and published by BonusXP in collaboration with Netflix, Stranger Things 3: The Game is the official companion game to Season 3 of the hit original series. This adventure game blends a distinctively retro 16-bit art style with modern gameplay mechanics to deliver nostalgic fun with a fresh new twist. Fans will be able to experience their favorite show through a mix of exploration, puzzles, and combat.Just like in the show, teamwork is at the heart Stranger Things 3: The Game. Fans can team up in two player local co-op or in single player mode alongside an AI partner, in the role of one of twelve characters from the show, each with unique abilities and attributes. Together, they'll play through familiar events from the series while also uncovering never-before-seen Stranger Things secrets, ensuring a fun experience for those new to the world of Stranger Things and series super fans alike!Key Features:* Experience the show in a new way, exploring the eerie world of Hawkins to uncover new mysteries beyond what's seen in Season 3.* Jump right into the action of this pick-up-and-play adventure: simple gameplay mechanics allow fans of all skill levels to get in on the fun.* Take your game to the next level by trying out different character combinations and collecting all the secrets the expansive world of Hawkins has to offer.* Team up with a friend, leveraging drop-in/drop-out local co-op to take on the mysterious monsters of Hawkins together. While playing solo, use a collection of ""buddy commands"" to control both characters and still experience all the fun.* Choose from 12 playable characters, each with their own unique talents and stats.",62,5
122,Stubbs the Zombie in Rebel Without a Pulse,21-Nov-05,"Guaranteed to turn some heads, this third-person action game is an original IP by Bungie Studio veterans that uses an updated Halo engine to deliver a stirring tale of one man's hunger for love, justice...and brains. In this game, players take on the role of the rebel himself ? Stubbs, a wisecracking Zombie who takes on an ultra-modern city of the future using nothing but his own carcass and the weapons of his possessed enemies. The game?s tongue-in-cheek humor, innovative combat and strong storyline keep Stubbs the Zombie?s gameplay as bizarre and unpredictable as its namesake. On his quest, Stubbs lurches his way through numerous large and visually captivating indoor/outdoor environments in and around the gleaming city of Punchbowl, PA, a city built during the Eisenhower administration to show off the ultra-futuristic technology of the 21st century. Stubbs? brain-eating adventure brings him through bustling shopping districts and verdant farmlands to battle mad scientists, rural militiamen and the world's deadliest barbershop quartet.  His enemies have shotguns, tanks, and all manner of futuristic weaponry.  All Stubbs has is his own rotting corpse, a distinct lack of pain or conscience, and the ability to turn foes into zombie allies. What begins as one zombie?s search for revenge quickly escalates into an all-out war between the living and the dead - but this time it's the zombie fighting for truth, justice and the redemption of true love.  Yes, it's a love story too. [Aspyr Media]",72,7.8
123,Subnautica,23-Jan-18,"Best open-world I have played in about a year. And best indie title for almost a decade! Great atmosphere, great graphics, attention to detail. Amazing what this little studio did with a small budget, compared to ""the big guys"". They made a competitive shooter called ""Natural Selection 2"" as well - be sure to check it out if you like fast-paced FPS action. :-)",87,8.5
124,Sundered,28-Jul-17,"Sundered is a horrifying fight for survival and sanity, a hand­-drawn epic from the ?creators of ?Jotun. You play Eshe, a wanderer in a ruined world, trapped in ever­?-?changing caverns teeming with eldritch horrors. Harness the power of corrupted relics to defeat gigantic bosses, at the cost of your humanity. Resist or embrace.",74,7.5
125,Sunless Sea,1-Jul-14,"One of my favourite games of all time. It's famously harsh and keen to kill you, which is part of the dark humour. It's a humour style that won't work for everyone, but if you recognise and appreciate their references then it'll reward you in spades. Strongly recommend getting the Zubmariner DLC too - it's playable inside the main game story, and gives you many advantages once you've gained the ability to scour the surface, the Unterzee and the sea bed too. The game also makes a big deal about playing for permadeath, teasing the idea that it would be detrimental to use Saves and lose your status as a ""true"" player. I'd advise you to forget that, and use the Save! It's hard enough without completely crushing yourself. Abandon all ideas about finding some cheap stock that's worth a fortune at another port, too; such things are almost totally non-existent, and this isn't Elite. Money will appear as windfalls from unexpected moments in the game's story, as will life-saving food and fuel (although you will also need to buy these!).  The game wants you to forget about traditional game ideas and put both feet into being a foolhardy sea captain from a horror story. Be reckless and give yourself to that premise, and the game will pay you back with more (wonderfully well written) stories.",81,7.5
126,Surviving Mars,15-Mar-18,"Surviving Mars is a sci-fi city builder all about colonizing Mars and surviving the process. Choose a space agency for resources and financial support before determining a location for your colony. Build domes and infrastructure, research new possibilities and utilize drones to unlock more elaborate ways to shape and expand your settlement. Cultivate your own food, mine minerals or just relax by the bar after a hard day's work. Most important of all, though, is keeping your colonists alive. Not an easy task on a strange new planet. There will be challenges to overcome. Execute your strategy and improve your colony's chances of survival while unlocking the mysteries of this alien world. Are you ready? Mars is waiting for you.",76,7
127,Tales of the Neon Sea,29-Apr-19,"I'll start with the bad things first - the fight with robot in Chapter 3 is broken, unless you're using gamepad, there's no way to complete it from a keyboard now. And the game itself ends in a cliffhanger, never to be finished, it seems. Other than that, the game is one of the best experiences I had in a long time, and it's a really pity no one played it, while everybody played horrible titles such as Phoenix Wright (aka The Ghost Did It!) and ""Professor Layton Gimme A Clue Cuz Your Puzzles Dunt Make Sense"". Pixel art is absolutely fantastic, it has lots and lots of cultural references to 80's and 90's (Blade Runner, Angel's Heart, Godfather, Short Circuit, and that's just a few), and good quality of puzzles - not too easy, not too hard.",62,7.9
128,Tharsis,11-Jan-16,"Tharsis is a turn-based strategy game about humanity’s first mission to Mars. It’s an important mission, and not just because of its potential to greatly increase our knowledge of the red planet. No, this mission is humanity’s attempt to locate the source of a mysterious signal emanating from the red planet. [Choice Provisions]",61,4.8
129,The End Is Nigh,12-Jul-17,Not sure what I expected from the meat boy follow up but when I first launched it I was extremely skeptical about the quality of the game after the first minutes of the game has the main character almost burst an eardrum by screaming f****** at the top of his lungs and then the main character seemingly having fewer abilities than meat boy. Don't be fooled by those first moments. The game uses a Metroid style layout with hidden paths and collectibles. the game is brutally hard yet very technically sound. Love you Ed.,84,7.5
130,The Escapists,13-Feb-15,"Escaping the prisons involves so much planning, time juggling, and tension, exactly what a prison break game needs! The people complaining about not liking the pixel graphics below, do they buy games without looking at screenshots?",71,6.9
131,The Escapists 2,21-Aug-17,"A decent improvement to the original game with even better soundtracks, prison features, and escape methods. Unfortunately, the experience is made much worse (on PC) with the countless bugs, lag, connectivity issues, and multiplayer action delay.",75,7.5
132,The Long Dark,1-Aug-17,"Imagine the lights go out, never to return. Bright aurora flare across the sky, and all humanity’s technological might is laid to waste, neutralized in a kind of quiet apocalypse. Everything that has shielded humanity from the disinterested power of Mother Nature is suddenly wrenched from us, dropping us a few links down the food chain. Food and water are scarce. The roads are no longer safe. And winter approaches... Features immersive first-person exploration gameplay featuring an original art style. Take on the role of bush pilot Will Mackenzie, and navigate the savage beauty of the Northern Wilderness while you face the hazards of the new “post-digital” frontier. In addition to playing Mackenzie in Survival Story mode, experience potentially hundreds of hours of free-form Survival Sandbox gameplay. Push yourself and your skill to last as long as possible in a variety of survival scenarios. [Hinterland Games]",77,6.6
133,The Messenger,30-Aug-18,este juego es asombroso la musica es una de las mejores que escuche no me esperaba que cambiara de 8 bits a los 16 este juego al principio pense que no iba a ser la gran cosa pero resulto ser asombroso las mecanicas divierten bastantre hacer parkour todo el tiempo el personaje es algo genereico hast que sae transforma o cambia de aspecto con ese genial sombrero un gran juego,83,7.8
134,The Spectrum Retreat,13-Jul-18,"If you like puzzle games you are going to love this one, its a lot of fun and fairly shot. The start isnt the best but it gets so much better with time. If you picked it up free on epic be sure to give it a try, its great",68,6.1
135,The Stanley Parable,17-Oct-13,"The Stanley Parable HD Remix is an updated version of the Half-Life 2 mod The Stanley Parable. It is a first person exploration game. You will play as Stanley, and you will not play as Stanley. You will follow a story, you will not follow a story. You will have a choice, you will have no choice. The game will end, the game will never end. [Steam]",88,8.1
136,The Textorcist: The Story of Ray Bibbia,14-Feb-19,"Where to start...? You do not need mouse to play. I mean, what modern game is playable without mouse. ""But does it run Textorcist?"" Yes it does! Hardware requirements are minimum. ""Game-play so crappy, give me Dork Souls!"" Man, this IS Dork Souls! ""What is with the visuals?"" They are simple yet effective, animations butter smooth. Did you notice it has nice CRT TV effect? ""Stop, this is getting serious!"" No, exactly the opposite. Small jokes and occasional humour guaranteed! Conclusion: This is the best indie game I ever had in my hands.",78,6.3
137,The Wolf Among Us,11-Oct-13,"Based on the award-winning Fables comic book series by Bill Willingham (published by DC Comics' Vertigo imprint), The Wolf Among Us is a dark, often brutally violent, and mature take on the characters and creatures of fairytale and legend. A five episode series from the creators of the 2012 Game of the Year: The Walking Dead, the player will experience what it's like to be Bigby Wolf (THE Big Bad Wolf), Sheriff of Fabletown.",80,8.8
138,This War of Mine,14-Nov-14,"In This War of Mine, the focus is shifted away from military operations portrayed in most games. Instead, it is a dark survival game where players control a gaggle of civilians attempting to stay alive in a besieged city. During the day snipers outside stop you from leaving your refuge, offering players time to craft, trade, upgrade their shelter, feed and cure their people. At night they must scavenge nearby areas in search for food, medicines, weapons and other useful items.",83,8.3
139,Ticket to Ride,24-May-12,"The best Online adaptation yet of Days of Wonder's best-selling train game, Ticket to Ride takes less than one minute to learn but a lifetime to master. With tension building at every turn, it's definitely NOT your Father's train game! Play Solo or Online. With over 30,000,000 games played Online, and a new game starting every 4 seconds on average, Ticket to Ride is the ultimate online board game experience. It's not just exciting – it's addictive! By the makers of Ticket to Ride for iPad, winner of the Pocket Gamer Awards 2012 for Best iPad Strategy/Simulation Game of the Year; Small World for iPad, winner of the Pocket Gamer Awards 2011 for Best iPad Strategy/Simulation Game of the Year; and Memoir ’44 Online, the World War II turn-based classic available as a free download on Steam.",No Score,7.3
140,Borderlands 2: Tiny Tina's Assault on Dragon Keep,25-Jun-13,"Alright, this is everything that Hammerlock's Big Game Hunt isn't. It's an interesting concept. It's witty. The writing is fun. The voice acting is entertaining. Characters show up that actually make sense, and interact with each other. Best of all, if you've ever played in a real tabletop RPG campaign, you'll see an awful lot of that going on here. It's a work of art. Bonus points for one really great sequence that I won't mention to avoid spoilers. If you like Borderlands 2 and RPGs, this is a must play.",87,8.4
141,Torchlight,27-Oct-09,"Ember is the essence of magic and the keystone of alchemy; it lures the restless with promises of power and riches. Miners burrowed deep beneath the dirt streets of Torchlight, discovering veins of the ore richer than any found in living memory- but they were not the first to covet these mines. The miners from Torchlight broke through into the buried past, a dangerous labyrinth of caverns and ruined civilizations, twisted creatures and the bones of those who came before. Evil bubbles up from the depths and threatens to overrun Torchlight as it has so many others. The heart of a villain has infused the Ember, and his darkness seeps through the veins. [Runic Games]",83,7.9
142,Torchlight II,20-Sep-12,"Beyond the town of Torchlight lies a world shrouded in adventure and mystery. Guardian-warrior Syl appears in a prophetic dream, summoning the player to the Estherian Steppes. There, you meet with the Destroyer and soon venture across the continent of Vilderan, an exotic frontier besieged by forces of evil. A discovery unfolds, that the Alchemist, following his conquest of dark ember, disappeared on his quest to defeat the unknown corrupted force responsible for destroying the mystical race of Estherians. Aided by Syl, the remaining Estherian Guardians, and clues left behind by the missing Alchemist, you will find yourself battling a powerful enemy that threatens to unravel the elements of the entire world. Torchlight 2.",88,8.5
143,Tormentor X Punisher,2-Jun-17,"Tormentor X Punisher is a brutal, topdown twin stick shooter where the goal is to survive and get the highest of scores. One hit, one kill to end them all, including yourself. Kill, destroy, fuck up demons, rack up combos, get upgrades for unique kills, and survive the onslaught from the brutal vile bosses.",No Score,6.3
144,Transistor,20-May-14,"it oozes cool... the story great, characters great, music great, art work great, game play is inventive and super customizationable ...  Get some of the weapon combinations right and you can have such a sweet time with this game.",83,8.4
145,Tyranny,10-Nov-16,"So far a very sophisticated piece of game!If you just liked Pillars of Eternity you will LOVE Tyranny! Prerequisite is to have some evil in you. ;)",80,7.8
146,Void Bastards,28-May-19,"Void Bastards is a great game and highly recommend it for anyone.  First of all the visuals are absolutely stunning and gorgeous.  The game-play is smooth, fun and satisfying, while you go through each ship looking for loot to help rebuild your own ship.  It will have you on the edge of your seat while you're either running from an enemy about to kill you, or on your last seconds of oxygen.  Can you get what you need and make it out alive.  Well why don't you go see and try it out yourself.  I for one can say its one of the best I have ever played.",81,7.4
147,Watch Dogs,26-May-14,"In the modern hyper-connected world, Chicago has the nation's most advanced and integrated computer system – one which controls almost every facet of city technology and maintains critical information on all of the city's residents. Assume the role of Aiden Pearce, a notorious hacker and former thug, whose criminal past lead to a violent family tragedy. Now on the hunt for those people who have hurt your family, you will be able to monitor and hack all who surround you while manipulating the city's systems to stop traffic lights, download personal information, manipulate the electrical grid and more. Use the entire city of Chicago as your personal weapon and exact your signature brand of revenge.",77,5.1
148,Watch Dogs 2,28-Nov-16,"Check out the birthplace of the tech revolution as Marcus Holloway, a brilliant young hacker who has fallen victim to ctOS 2.0's predictive algorithms and accused of a crime he did not commit. In Marcus' mission to shut down ctOS 2.0 for good, hacking is his ultimate weapon.  Players not only can hack into the San Francisco Bay Area's infrastructure, but also into every person and any connected device they possess to trigger unpredictable chains of events in this vast open world. ",75,7
149,Wheels of Aurelia,20-Sep-16,"[PT-BR] Gostei bastante do jogo, ele é bem curto, o jogo no total possui 16 finais. ele é um jogo de visual-novel misturado com corrida, poderia ter mais opção de escolha sim, mas são tantos finais que você até se perde nas escolhas, tem tradução e a trilha sonora  é bem boa e agradável, poderia ser melhor mas esta ótimo pelo preço baixo que paguei na steam, voltaria a jogar qualquer hora sem duvidas !",63,4.1
150,World of Goo,12-Oct-08,"Considering that basically the entire game was created by TWO PEOPLE, i can't think of anyway that this game could have been made better.  Some people are complaining about price, which doesn't do the game justice in itself.",90,8.4
151,World War Z,16-Apr-19,"World War Z is a thrilling four-player cooperative third-person shooter featuring massive swarms of zombies that recklessly rush their living prey. Focused on fast-paced gameplay -- and based on the incredibly popular Paramount Pictures property of the same name -- World War Z explores new storylines and characters from around the world in tense, overwhelming, gruesomely exciting missions crafted specifically for modern consoles and PC. The swarm feels neither fear nor mercy. It rolls forward to spread and consume. Together, make your stand and unload an arsenal of deadly weaponry into these hundreds of swarming zombies. Feel the satisfying rush of life as you cheat death and prevail against such overwhelming odds. Cut the undead down with rocket launchers, machine guns, sentries, turrets, grenade launchers, barbed wire, and more.",70,5.9
152,Yoku's Island Express,29-May-18,"What a delightful little game. The seemingly nutty idea of mixing pinball and metroidvania works surprisingly well. And the overall design of the game matches in terms of nuttiness. It's all so charming. Characters in the game will e.g. dive by lettings themselves get partly swallowed by fish and then the fish pulls them under water. Or climb by having animals bite plants and then swing around them - it's best to watch a video if you can't imagine this. And I still remember the very first couple of minutes gameplay when the logo of the game appears - I for one had to chuckle at the way that was presented. But not only does it ooze charm but it also handles very well. Pinball mechanics may not be particularly realistic but hey... you're playing with a beetle strapped to a ball. The important point is that it feels alright. And traversing the (huge!) map works a lot faster than one would initially expect because of all sorts of shortcuts and additional methods of transportation one eventually unlocks. Somewhere I read a comment that it can be annoying to go upwards since obviously the ball only falls down. But there are all sorts of flippers and lanes that fling/move you upwards, so I've never found this to be an issue. Oh and the map might just be one of the best I've ever seen - it simply zooms out the game so that you can see the whole world (although some things don't seem to update properly at times - a bit buggy). but you can also zoom in and pan around. The only flaw I've found is that it does feel very much like a children's game in that it's very easy. I've played quite a bit of Pinball FX and Pro Pinball and there hasn't really been any challenge. So I'm really just exploring and having fun discovering all those different biomes and new characters and quests. Of which there are many. It's like every couple of minutes that you come across some NPC to chat with. Still - most of the time, I run around with maxed out fruits and I wonder whether they couldn't have included some aspect where if you play well (which reminds me - there is no combo system, no time limits and all shots are easy to pull off), you get something - once fruit is maxed out, symbols change to something else and do... whatever. Or something. And since I know that length matters to people with limited finances - it took me about 7 hours to finish regularly (although I did many side quests and whatnot) and after about 10 hours, I'm at 97% and saw the ""true ending"". Now to find the remaining 3...",84,7.9
